date,currency,mid_rate,daily_return,return_7d,return_14d,ma_7,ma_14,ma_30,ma_gap,volatility_7d,volatility_14d,volatility_30d,momentum_7d,momentum_14d,spread,spread_pct,depreciation_days_7d,depreciation_days_14d,future_7d_change,risk_label_7d
2025-05-30,USD,1419.796399,-5.986485913533901e-05,0.0006801357788670526,0.000709379149326006,1419.2864002857143,1419.0204407857143,1418.5830653333333,0.0004958010352504728,0.00019667498939063724,0.00015610523634998415,0.00017396102191522987,0.0006801357788670526,0.000709379149326006,28.111967999999933,0.01979999950683065,3.0,6.0,0.0008513488277976933,Low
2025-05-31,USD,1419.796399,0.0,0.0006801357788670526,0.000709379149326006,1419.4242571428572,1419.092330785714,1418.6772606000002,0.0005265443829987647,0.00019667498939063724,0.00015610523634998415,0.00017396102191522987,0.0006801357788670526,0.000709379149326006,28.111967999999933,0.01979999950683065,3.0,6.0,0.0008513488277976933,Low
2025-06-01,USD,1419.796399,0.0,0.0006801357788670526,0.000709379149326006,1419.562114,1419.1642207857144,1418.7714558666667,0.0005572836485143618,0.00019667498939063724,0.00015610523634998415,0.00017396102191522987,0.0006801357788670526,0.000709379149326006,28.111967999999933,0.01979999950683065,3.0,6.0,0.0008513488277976933,Low
2025-06-02,USD,1420.510129,0.000502698838018345,0.0008868957248258091,0.0011324732604620635,1419.7419322857143,1419.2789972142857,1418.8894421333337,0.000600815064984103,0.00024183498530993812,0.00019758283630827555,0.00019074333359792535,0.0008868957248258091,0.0011324732604620635,28.12609999999995,0.019799999609858433,3.0,6.0,0.0010702282010972564,Low
2025-06-03,USD,1421.27014,0.0005350268079644671,0.0015741245256288838,0.001851684686395405,1420.061038,1419.4666315,1419.0327621000001,0.0007246315430224456,0.00024931572715141087,0.00021611353906133003,0.00020701560445649957,0.0015741245256288838,0.001851684686395405,28.14114799999993,0.01979999945682383,4.0,7.0,0.0011333665252404312,Low
2025-06-04,USD,1421.65014,0.0002673664838972467,0.0016019288470625614,0.0021513441218852236,1420.3858579999999,1419.684623857143,1419.1780820666668,0.0008510390264583863,0.000249811765869952,0.0002134316935720743,0.00020801555492426188,0.0016019288470625614,0.0021513441218852236,28.148672000000033,0.019799999456969093,4.0,8.0,0.0011192704556690636,Low
2025-06-05,USD,1421.005141,-0.0004536974195351595,0.000791433002784725,0.0016069474206412693,1420.5463924285716,1419.8474679285714,1419.2965687666667,0.0008805937317180648,0.0003488951626372336,0.0002682922112435675,0.00023143331153636676,0.000791433002784725,0.0016069474206412693,28.135901999999987,0.019800000146516,3.0,7.0,0.001896064920710927,Medium
2025-06-06,USD,1421.005141,0.0,0.0008513488277976933,0.0015320636394628995,1420.719069857143,1420.0027350714286,1419.4033887666665,0.0009269254257732762,0.0003446574901788208,0.00026988829668321606,0.00022980657310697148,0.0008513488277976933,0.0015320636394628995,28.135901999999987,0.019800000146516,3.0,6.0,0.002189346759020383,Medium
2025-06-07,USD,1421.005141,0.0,0.0008513488277976933,0.0015320636394628995,1420.8917472857142,1420.158002214286,1419.4963424333332,0.0009830281422134554,0.0003446574901788208,0.00026988829668321606,0.00022642216215322612,0.0008513488277976933,0.0015320636394628995,28.135901999999987,0.019800000146516,3.0,6.0,0.002189346759020383,Medium
2025-06-08,USD,1421.005141,0.0,0.0008513488277976933,0.0015320636394628995,1421.0644247142857,1420.3132693571429,1419.5703425,0.0010524890310504315,0.0003446574901788208,0.00026988829668321606,0.0002176017123650197,0.0008513488277976933,0.0015320636394628995,28.135901999999987,0.019800000146516,3.0,6.0,0.002189346759020383,Medium
2025-06-09,USD,1422.030399,0.0007215019639397191,0.0010702282010972564,0.001958073106739233,1421.2816061428573,1420.5117692142856,1419.6785178333334,0.0011291910734624875,0.00039169021019862753,0.000313029427508055,0.00024921519240185785,0.0010702282010972564,0.001958073106739233,26.186418000000003,0.01841480886654379,3.0,6.0,0.0020821791166223402,Medium
2025-06-10,USD,1422.88096,0.0005981313765148766,0.0011333665252404312,0.002709275110913234,1421.5117232857144,1420.7863806428572,1419.8150452,0.001194999370833853,0.00040252750714794296,0.0003233176141927172,0.00026625302977373614,0.0011333665252404312,0.002709275110913234,24.887539999999944,0.017490950191644945,3.0,7.0,0.0026069081703081753,Medium
