date,currency,buying_rate,average_rate,selling_rate,mid_rate,is_official_observation,source,rate_type,observation_gap_days,daily_return,return_7d,return_14d,ma_7,ma_14,ma_30,ma_gap,volatility_7d,volatility_14d,volatility_30d,momentum_7d,momentum_14d,spread,spread_pct,depreciation_days_7d,depreciation_days_14d,future_7d_date,future_7d_change,future_14d_date,future_14d_change,risk_label_7d,risk_label_14d
2023-03-01,KES,8.509088,8.594171,8.679253,8.594171,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,-0.00039918102754921136,-0.007799826616642802,-0.01123276594824274,8.633010857142857,8.654521928571429,8.680882233333334,-0.0055145750055977105,0.002287300968692946,0.001689256955724248,0.0013975953501137491,-0.007799826616642802,-0.01123276594824274,0.170164999999999,0.019800048195457016,3.0,5.0,2023-03-08,-0.009347498438185498,2023-03-15,-0.016061234992880702,Low,Low
2023-03-02,KES,8.50729,8.592355,8.677419,8.592355,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,-0.00021130601194696563,-0.0061326438856202925,-0.01083933468800069,8.625436714285714,8.6477965,8.677708200000001,-0.006023651004338659,0.0022807043106860517,0.001696140090673855,0.0013970747054609452,-0.0061326438856202925,-0.01083933468800069,0.17012900000000108,0.019800043177918173,3.0,5.0,2023-03-09,-0.00859612993178227,2023-03-16,-0.0149295507459829,Low,Low
2023-03-03,KES,8.504719,8.589757,8.674796,8.589757,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,-0.0003023618088404678,-0.0071185487754383825,-0.010859549367565613,8.616638857142858,8.641060428571429,8.6745211,-0.006672673014437858,0.0021963719588218435,0.0016956902745847765,0.0013969682769351794,-0.0071185487754383825,-0.010859549367565613,0.17007700000000092,0.019799978043616474,2.0,5.0,2023-03-10,-0.009542761221301155,2023-03-17,-0.016908627333695248,Low,Low
2023-03-06,KES,8.490532,8.575428,8.660325,8.575428,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,3.0,-0.0016681496345006819,-0.00924023667982743,-0.013068848218485418,8.605213428571428,8.632949357142857,8.6704371,-0.007522535562661692,0.002101615640123995,0.001664238682464251,0.0013729206142311225,-0.00924023667982743,-0.013068848218485418,0.1697930000000003,0.01979994467914608,1.0,4.0,2023-03-13,-0.013385804183767891,2023-03-20,-0.015857750773489054,Low,Low
2023-03-07,KES,8.449813,8.534302,8.618792,8.534302,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,-0.004795795615099352,-0.012291295474049169,-0.016247139851877423,8.590041571428571,8.622881642857143,8.6650256,-0.008653641897079734,0.0024849428299179243,0.0019560139687268096,0.0015815257772553058,-0.012291295474049169,-0.016247139851877423,0.16897899999999844,0.019799978955513695,1.0,4.0,2023-03-14,-0.009195010910089785,2023-03-21,-0.011222476073614596,Low,Low
2023-03-08,KES,8.42955,8.513837,8.598124,8.513837,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,-0.002397969980438952,-0.015362899611700453,-0.017458846501837155,8.571064714285713,8.612075714285714,8.658658733333333,-0.010116349627039556,0.0022336840475331785,0.001983463085900365,0.0015848268814243078,-0.015362899611700453,-0.017458846501837155,0.16857399999999956,0.01980000321829036,0.0,4.0,2023-03-15,-0.006777085349414236,2023-03-22,-0.011692965228251473,Low,Low
2023-03-09,KES,8.434161,8.518494,8.602827,8.518494,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,0.0005469919144565072,-0.009201285521092228,-0.017539784563282645,8.55976342857143,8.601212857142857,8.652472933333334,-0.010714798587204366,0.0018240393581554389,0.0019775511603290037,0.0015980080234243778,-0.009201285521092228,-0.017539784563282645,0.16866599999999998,0.019799978728634423,1.0,4.0,2023-03-16,-0.006388335778601317,2023-03-23,-0.013028946196358193,Low,Low
2023-03-10,KES,8.42356,8.507787,8.592014,8.507787,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,-0.0012569123133736593,-0.010051463951554984,-0.017772890892132187,8.547422857142857,8.590216857142858,8.6457015,-0.01136734166188158,0.0017802942716484576,0.00197633924064905,0.0015750394623934426,-0.010051463951554984,-0.017772890892132187,0.16845400000000055,0.01979997853730947,1.0,4.0,2023-03-17,-0.007436834043917706,2023-03-24,-0.01454020886982721,Low,Low
2023-03-13,KES,8.376879,8.460639,8.544399,8.460639,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,3.0,-0.005541746637521605,-0.015329441113640985,-0.02136807499594584,8.528606285714286,8.5770215,8.637314866666665,-0.01258592312894724,0.0022458797734323747,0.0022808318185506245,0.0017870550631879894,-0.015329441113640985,-0.02136807499594584,0.16751999999999967,0.019799922913623858,1.0,4.0,2023-03-20,-0.0025054845148221316,2023-03-27,-0.010303713466559783,Low,Low
2023-03-14,KES,8.372116,8.455829,8.539542,8.455829,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,-0.0005685149785968902,-0.015591593568945128,-0.022599152825076185,8.509473714285715,8.563056285714286,8.628920766666665,-0.013842640998903533,0.0022103256290667895,0.0022098865627232962,0.0017867070795299423,-0.015591593568945128,-0.022599152825076185,0.16742600000000074,0.01980006927765459,1.0,3.0,2023-03-21,-0.0020462807372286784,2023-03-28,-0.010578619789969768,Low,Low
2023-03-15,KES,8.372422,8.456138,8.539854,8.456138,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,3.654283926501911e-05,-0.013910675945270734,-0.023022374686987535,8.492432285714285,8.548822857142858,8.6205071,-0.014856993074770952,0.0023718752342542534,0.002181081640273343,0.0017853657493829566,-0.013910675945270734,-0.023022374686987535,0.1674319999999998,0.019800055297110788,2.0,3.0,2023-03-22,-0.004949422537806281,2023-03-29,-0.011001594344841603,Low,Low
2023-03-16,KES,8.380281,8.464075,8.54787,8.464075,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,0.0009386081447582129,-0.008228792465980295,-0.02041894542043543,8.482399857142857,8.536220714285715,8.612171833333333,-0.015068437869318219,0.0022300616875298037,0.0022885410171412093,0.0017954622761860023,-0.008228792465980295,-0.02041894542043543,0.16758899999999954,0.019800037216116298,3.0,4.0,2023-03-23,-0.006683305618156554,2023-03-30,-0.013304584375729123,Low,Low
2023-03-17,KES,8.360915,8.444516,8.528117,8.444516,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,-0.0023108254593678934,-0.0081421572905378,-0.023379969757160945,8.472496857142856,8.521780785714286,8.603080366666665,-0.0151786922774505,0.0022223432827442277,0.002207840184694348,0.0017935649582632217,-0.0081421572905378,-0.023379969757160945,0.16720199999999963,0.019800069062572635,3.0,3.0,2023-03-24,-0.007156597251991803,2023-03-31,-0.012564367217730354,Low,Low
2023-03-20,KES,8.35589,8.439441,8.522991,8.439441,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,3.0,-0.0006009817495756797,-0.009280161493334438,-0.01839605759884455,8.461203571428571,8.510483500000001,8.594338033333333,-0.015490950133494441,0.002114691229844834,0.0018972580349906666,0.0017900464772491508,-0.009280161493334438,-0.01839605759884455,0.16710099999999883,0.019800008081103812,2.0,3.0,2023-03-27,-0.007817816369591446,2023-04-03,-0.012941615445857146,Low,Low
2023-03-21,KES,8.354985,8.438526,8.522068,8.438526,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,-0.00010841950314022242,-0.008140894923674202,-0.01811053096337034,8.451309142857143,8.499366,8.585295033333333,-0.015606439843473652,0.0021651779307688777,0.0019097073694211656,0.001760825232939706,-0.008140894923674202,-0.01811053096337034,0.16708300000000165,0.019800021946961077,2.0,3.0,2023-03-28,-0.008549834414209312,2023-04-04,-0.014176764994265567,Low,Low
2023-03-22,KES,8.330984,8.414285,8.497586,8.414285,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,-0.0028726580921834,-0.005478782394568671,-0.020724236836117682,8.444687142857143,8.486646714285715,8.575350666666667,-0.015237105616849878,0.001346024766051725,0.0019250839470732867,0.0017714051282247461,-0.005478782394568671,-0.020724236836117682,0.16660199999999925,0.01979989981323419,2.0,3.0,2023-03-29,-0.0060822755587670585,2023-04-05,-0.01115650349376085,Low,Low
2023-03-23,KES,8.324273,8.407507,8.490742,8.407507,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,-0.0008055348731352829,-0.005714637796010114,-0.02121713105504608,8.437783999999999,8.473628857142858,8.5658741,-0.014953535214812574,0.0013426850637491931,0.0019057447013500583,0.0017570366341588873,-0.005714637796010114,-0.02121713105504608,0.1664689999999993,0.0198000429853938,2.0,3.0,2023-03-30,-0.00666582852681552,2023-04-06,-0.013879143960272788,Low,Low
2023-03-24,KES,8.30108,8.384082,8.467085,8.384082,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,-0.0027862004753610448,-0.00852114759716549,-0.022313288619530303,8.427490285714287,8.459961285714286,8.555793133333333,-0.014996020312737501,0.0014619805617371489,0.0019352245059435424,0.001780588817060019,-0.00852114759716549,-0.022313288619530303,0.16600500000000018,0.019800021039870577,1.0,3.0,2023-03-31,-0.005446750162987346,2023-04-11,-0.011643015896075304,Low,Low
2023-03-27,KES,8.290566,8.373463,8.45636,8.373463,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,3.0,-0.0012665668107730843,-0.010705481697645625,-0.018846180976487714,8.414545714285714,8.448472785714285,8.545439833333335,-0.015317423280781894,0.0011156783609616054,0.0017042218374016683,0.0017725401104870487,-0.010705481697645625,-0.018846180976487714,0.165794,0.01979993223831048,0.0,3.0,2023-04-03,-0.005164171621705349,2023-04-11,-0.010389608218248303,Low,Low
2023-03-28,KES,8.283551,8.366378,8.449205,8.366378,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,-0.0008461254322136291,-0.009253105802629835,-0.01731992285029671,8.403383142857143,8.43794,8.534686333333333,-0.015384653325028363,0.0010829884109205543,0.0016816052388331554,0.001742167451641829,-0.009253105802629835,-0.01731992285029671,0.16565399999999997,0.019799966006795292,0.0,3.0,2023-04-04,-0.005675454778638955,2023-04-11,-0.009551564607766738,Low,Low
2023-03-29,KES,8.280312,8.363107,8.445902,8.363107,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,-0.00039096966453100457,-0.009044911860868643,-0.01824113511144121,8.392478285714285,8.426840928571428,8.524281566666666,-0.015462098467955876,0.0011090372822468208,0.0016223199987819405,0.0017481218583865377,-0.009044911860868643,-0.01824113511144121,0.1655899999999999,0.019800057562338963,0.0,2.0,2023-04-05,-0.005105279652645733,2023-04-12,-0.010116575095834524,Low,Low
2023-03-30,KES,8.268785,8.351464,8.434144,8.351464,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,-0.001392185942377555,-0.010317204687169235,-0.018374108331579153,8.380040857142857,8.415674999999998,8.513826366666667,-0.01571391096811725,0.0009782304190760667,0.0016223638639566308,0.0017483740402145392,-0.010317204687169235,-0.018374108331579153,0.16535900000000048,0.01980000153266547,0.0,2.0,2023-04-06,-0.00726172081924803,2023-04-13,-0.00890047541365202,Low,Low
2023-03-31,KES,8.255865,8.338416,8.420966,8.338416,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,-0.0015623608028484393,-0.00901669006932837,-0.014446071981087938,8.369202428571429,8.406944785714286,8.502754433333333,-0.015706910720406198,0.0007706833723426531,0.001086332948675828,0.0017135844285195206,-0.00901669006932837,-0.014446071981087938,0.16510099999999994,0.019800043557433443,0.0,2.0,2023-04-11,-0.00623020007636943,2023-04-14,-0.009405743249077503,Low,Low
2023-04-03,KES,8.247752,8.330221,8.41269,8.330221,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,3.0,-0.000982800570276221,-0.009192499036872692,-0.014854605030446999,8.358161571428571,8.397972785714286,8.4917041,-0.015726234333981126,0.0007547497448445222,0.0010781634583666752,0.0017138066764685227,-0.009192499036872692,-0.014854605030446999,0.16493799999999936,0.019799954887151177,0.0,2.0,2023-04-11,-0.005252561726753591,2023-04-17,-0.005268167555218417,Low,Low
2023-04-04,KES,8.236538,8.318895,8.401252,8.318895,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,-0.0013596277937885093,-0.0077750909401888,-0.016229985839871564,8.348849142857143,8.388169714285715,8.480821466666667,-0.015561266597608925,0.00040285779540780484,0.0010317190270457632,0.001710246288955894,-0.0077750909401888,-0.016229985839871564,0.16471400000000003,0.01979998545479899,0.0,1.0,2023-04-11,-0.003898234080367491,2023-04-18,-0.007667965517054842,Low,Low
2023-04-05,KES,8.238039,8.320411,8.402783,8.320411,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,0.00018223574164610845,-0.006335729912462673,-0.01697338456948916,8.341270285714286,8.377908,8.469790433333333,-0.015173946584705278,0.0006234243070895583,0.0009274790730791376,0.0016924761595576555,-0.006335729912462673,-0.01697338456948916,0.1647439999999989,0.019799983438317997,1.0,1.0,2023-04-12,-0.00503701079189478,2023-04-19,-0.009992054479039503,Low,Low
2023-04-06,KES,8.208739,8.290818,8.372898,8.290818,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,-0.0035566752652003153,-0.009031387298063631,-0.018200924718480005,8.330476,8.366929571428571,8.4576375,-0.015035108799590913,0.0011759565222684975,0.0010862076982265112,0.001707056061272869,-0.009031387298063631,-0.018200924718480005,0.16415899999999972,0.01980009692650348,1.0,1.0,2023-04-13,-0.001650741820650281,2023-04-20,-0.007037182579571755,Low,Low
2023-04-11,KES,8.20443,8.286466,8.368502,8.286466,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,5.0,-0.0005249180478933413,-0.009164177858778877,-0.01812620053863756,8.319527285714285,8.356002785714285,8.4458362,-0.014955169777708388,0.0011597797748938645,0.001090213213220935,0.0017140248667667935,-0.009164177858778877,-0.01812620053863756,0.1640719999999991,0.01979999676581055,1.0,1.0,2023-04-18,-0.003784484242136621,2023-04-25,-0.008813527986478276,Low,Low
2023-04-12,KES,8.196543,8.278501,8.360458,8.278501,1,National Bank of Rwanda Excel export,BNR buying/average/selling rates,1.0,-0.0009612058988718308,-0.008736552058417502,-0.01896361994973994,8.309104,8.344572428571428,8.433563733333333,-0.014757667964423016,0.001166343664084493,0.0010409110090728424,0.0016697552682260414,-0.008736552058417502,-0.01896361994973994,0.16391499999999937,0.019800082164633352,1.0,1.0,2023-04-19,-0.0049801286488943,2023-04-26,-0.00905888638534924,Low,Low
