date,currency,mid_rate,daily_return,return_7d,return_14d,ma_7,ma_14,ma_30,ma_gap,volatility_7d,volatility_14d,volatility_30d,momentum_7d,momentum_14d,spread,spread_pct,depreciation_days_7d,depreciation_days_14d,future_7d_date,future_7d_change,risk_label_7d
2025-07-30,EUR,1665.127622,-0.0015012504377811542,-0.004254473597965824,-0.010831256675798095,1683.5051741428572,1678.1862754285714,1669.7052165666666,0.008264906547136963,0.007190222014998949,0.0052609020958199835,0.0047751151426918825,-0.004254473597965824,-0.010831256675798095,11.55649900000003,0.006940308266653708,4.0,9.0,2025-08-06,0.003458373354640054,Medium
2025-07-31,EUR,1647.802236,-0.0104048397078359,-0.020448271522002015,-0.01639726567693056,1678.5911614285717,1676.224141,1669.8960510666666,0.00520697701892936,0.007366213117361129,0.005779084863011323,0.005169947058761986,-0.020448271522002015,-0.01639726567693056,11.434999999999945,0.006939546354639093,3.0,9.0,2025-08-07,0.02286228297119508,High
2025-08-04,EUR,1669.720384,0.013301443292858872,-0.01143944320369028,-0.004124800661732597,1675.8309184285713,1675.7301559999999,1670.7886057333335,0.003017923798339872,0.009378773026858625,0.0069525070603934005,0.005702504778702113,-0.01143944320369028,-0.004124800661732597,11.583000000000084,0.006937089653449475,3.0,9.0,2025-08-11,0.009520058060212389,High
2025-08-05,EUR,1666.404125,-0.0019861163771957013,-0.017149639410323547,-0.006583409222844283,1671.6770772857142,1674.9413472142858,1671.3403546000002,0.00020146865046810625,0.009071662565869932,0.006963162496941109,0.005677832166011731,-0.017149639410323547,-0.006583409222844283,11.555998999999929,0.0069346917873237554,2.0,8.0,2025-08-12,0.006883044651608827,Medium
2025-08-06,EUR,1670.886255,0.0026897016952593944,-0.012124255762470781,0.0015283818059714793,1668.7475225714284,1675.1234797142858,1672.3188003333335,-0.0021355244952058205,0.009276256901980612,0.006853581543333195,0.0055996507365040984,-0.012124255762470781,0.0015283818059714793,11.583000999999967,0.006932249855631237,3.0,9.0,2025-08-13,0.01002057438074977,High
2025-08-07,EUR,1685.474757,0.008730996473485408,-0.004833390844059204,0.009536624081214473,1667.578076142857,1676.2607581428572,1673.8941471666667,-0.003773279830448395,0.01006737808086084,0.007230596748933919,0.005767270826453938,-0.004833390844059204,0.009536624081214473,11.679998999999953,0.006929797643952465,3.0,9.0,2025-08-14,0.0031947781938808095,Medium
2025-08-08,EUR,1682.878102,-0.0015406074693292693,0.009142877886053169,0.007358859103413717,1669.7562115714286,1677.1388721428573,1675.034485533333,-0.0031511434585324016,0.007798486904996159,0.007255509965976645,0.005691573151582707,0.009142877886053169,0.007358859103413717,11.65800000000013,0.0069274179669610615,3.0,8.0,2025-08-18,0.004754227885247042,Medium
2025-08-11,EUR,1685.616219,0.0016270441672192604,0.012304520524013096,0.00799769766834224,1672.683154,1678.0941640714284,1676.4163872,-0.0022269128532173,0.0076983882389778935,0.007260479420419511,0.005656394442672994,0.012304520524013096,0.00799769766834224,11.673000000000002,0.006925063883714329,4.0,8.0,2025-08-18,0.0031221039170601372,Medium
2025-08-12,EUR,1677.874059,-0.004593073982518403,0.018249655415566446,-0.0025717900155559636,1676.9791287142855,1677.7851450714286,1676.9357092333335,2.589215598014505e-05,0.0063637250534511365,0.007208439025554393,0.005399800342143411,0.018249655415566446,-0.0025717900155559636,11.61850000000004,0.006924536402287891,4.0,7.0,2025-08-19,0.003940958479291767,Medium
2025-08-13,EUR,1687.629495,0.005814164625570273,0.010725814436724157,-0.0008363261120282184,1679.5375731428571,1677.6842457857142,1677.7207113666666,0.001082934581352557,0.004669873921592079,0.007301757973129473,0.005491050614822885,0.010725814436724157,-0.0008363261120282184,11.685000000000173,0.006923913118738289,4.0,7.0,2025-08-20,-0.0038515444410385236,Low
2025-08-14,EUR,1690.859475,0.0019139153526113173,0.014675521761565502,-0.0027257975551272517,1683.0311945714286,1677.3541359285714,1678.2790692333333,0.002831546567679144,0.004404958943122828,0.0072422050108851286,0.00539842536347318,0.014675521761565502,-0.0027257975551272517,11.705500000000029,0.006922810661128436,5.0,7.0,2025-08-21,-0.004875811456774071,Low
2025-08-18,EUR,1690.878888,1.1481143339819866e-05,0.011965286649628926,-0.0003040393084531301,1685.887285,1677.317403785714,1678.7716880666667,0.00423857334735489,0.0044603283412493625,0.00721343897177274,0.005396361730184387,0.011965286649628926,-0.0003040393084531301,11.704500000000053,0.006922139771846305,5.0,8.0,2025-08-25,0.00031734857168563835,Low
2025-08-19,EUR,1684.486491,-0.0037805173660669933,-0.0005863428069128318,-0.005416899627017524,1685.7461041428573,1676.662090142857,1678.9379841333332,0.004055015774176107,0.0036017186035324183,0.007269984708872998,0.005436541827187497,-0.0005863428069128318,-0.005416899627017524,11.65900099999999,0.00692139774482762,4.0,7.0,2025-08-26,-0.002249154873157022,Low
2025-08-20,EUR,1681.129515,-0.0019928779589125645,-0.001039045548172357,0.008094332471315857,1685.4963059999998,1677.6262587857143,1678.7529690666665,0.004016872677272021,0.003636215322702845,0.0058951917879489476,0.005391294882029328,-0.001039045548172357,0.008094332471315857,11.634999999999991,0.006920942078635738,4.0,7.0,2025-08-27,-0.0013447274465346881,Low
2025-08-21,EUR,1682.615163,0.0008837201338409706,-0.0017803910321771976,0.010502222633839597,1685.0675837142858,1678.875368857143,1678.6972893999998,0.00379478441676806,0.0035864275965071194,0.005864425564936236,0.005388192459406677,-0.0017803910321771976,0.010502222633839597,11.644999000000098,0.006920773838289783,4.0,8.0,2025-08-28,2.116110729488696e-05,Low
2025-08-22,EUR,1673.966042,-0.005140284712862764,-0.0023291479947721294,0.01587800127247796,1684.5092955714285,1680.7442121428571,1678.539653133333,0.0035564500528491028,0.003701028197724036,0.0052274679058343845,0.005436694455933208,-0.0023291479947721294,0.01587800127247796,11.584499999999935,0.006920391279956403,4.0,8.0,2025-08-29,0.006995132342117127,Medium
2025-08-25,EUR,1691.415486,0.010424013129413323,0.0022433780703745576,0.012993254563993029,1685.0501514285713,1682.2938622857143,1678.8081515999997,0.003718113843218296,0.005115695883934836,0.004746947431213188,0.005745699509390541,0.0022433780703745576,0.012993254563993029,11.705502000000024,0.006920536140816689,4.0,8.0,2025-09-01,0.00042440134073595814,Low
2025-08-26,EUR,1680.69782,-0.006336506960419319,-0.0060097572567346935,0.008577568181427742,1683.5984864285715,1683.3148405,1678.9890083333332,0.0027453890837640937,0.005616251110106229,0.005083215183903932,0.005798040844569665,-0.0060097572567346935,0.008577568181427742,11.629999999999882,0.006919744799811712,3.0,8.0,2025-09-02,0.005865766518338145,Medium
2025-08-27,EUR,1678.868854,-0.0010882182259271955,-0.007102835149953024,0.004777464041081592,1681.8827672857144,1683.8850261428572,1679.0634309999998,0.0016791124347430575,0.005603592197419674,0.00506526394493551,0.005800635061298074,-0.007102835149953024,0.004777464041081592,11.616500000000087,0.006919242067254461,2.0,7.0,2025-09-03,0.0014778039357206119,Medium
2025-08-28,EUR,1682.650769,0.002252656597321101,-0.0010897813724288774,-0.0016754851938728388,1681.6205212857142,1683.6833127142856,1679.2368750333333,0.001419481841913317,0.005569305139458333,0.004505993256487326,0.005814059052854672,-0.0010897813724288774,-0.0016754851938728388,11.641500999999835,0.006918548527403807,3.0,7.0,2025-09-04,0.0012225311620797097,Low
2025-08-29,EUR,1685.675656,0.0017976915089739087,0.0027042181815479793,0.0016623628275127533,1682.26997,1683.883138,1679.8148502333331,0.0014615418873846764,0.00554362651709059,0.004512808592647306,0.005725185132126208,0.0027042181815479793,0.0016623628275127533,11.661501000000044,0.0069179981086468535,4.0,8.0,2025-09-05,0.000982342002808334,Low
2025-09-01,EUR,1692.133325,0.00383090838205713,0.005656767042934385,0.0038663047534428507,1683.6297074285715,1684.3486455714285,1680.5675324333336,0.0018221076726407937,0.005696386363428017,0.004606582457742998,0.005759972852821576,0.005656767042934385,0.0038663047534428507,11.704999999999927,0.006917303635043017,4.0,8.0,2025-09-08,0.0009060391266746404,Low
2025-09-02,EUR,1690.556401,-0.0009319147473204614,0.009910809767788686,0.007558578030319341,1685.9997587142857,1685.2545271428571,1681.2332622666668,0.002835119048972823,0.005159243335705428,0.00440796453565686,0.0057654919345463615,0.009910809767788686,0.007558578030319341,11.693000999999867,0.006916658322125904,4.0,8.0,2025-09-09,0.006721384150968568,Medium
2025-09-03,EUR,1681.349893,-0.005445844926885712,-0.005950987846164324,-0.0037209600914208663,1684.561816857143,1684.8059841428571,1681.5368543,0.0017989273023708563,0.0038694215863706474,0.0044002380491299535,0.005862169392528958,-0.005950987846164324,-0.0037209600914208663,11.628998999999794,0.0069164657805106805,3.0,7.0,2025-09-10,0.0073774828497281675,Medium
2025-09-04,EUR,1684.707862,0.0019971863167684845,0.0023859387168121415,-0.003638157452440005,1685.13468,1684.3665832142856,1681.6204388666665,0.0020897944935194257,0.003105083278302191,0.004403453764248651,0.005771975653989084,0.0023859387168121415,-0.003638157452440005,11.651499999999942,0.006916035867588265,4.0,7.0,2025-09-11,0.004132581771022936,Medium
2025-09-05,EUR,1687.331566,0.0015573643711055407,0.005040722495885941,-0.002097916074992101,1686.3436388571429,1684.1132030714286,1681.5634215666664,0.0028427219747815258,0.003062325087184593,0.004429853702616812,0.005730015399166784,0.005040722495885941,-0.002097916074992101,11.66900099999998,0.0069156538259179225,5.0,7.0,2025-09-12,0.004962245813873389,Medium
2025-09-08,EUR,1693.666464,0.003754388365422079,0.006546631780607992,0.005449716010812455,1687.9173095714284,1684.7689154285715,1681.5029366,0.0038146665294549464,0.0032351087406980693,0.004411331473357348,0.005728692978979319,0.006546631780607992,0.005449716010812455,11.712001999999984,0.006915176186661499,5.0,8.0,2025-09-15,0.0021613677059852954,Medium
2025-09-09,EUR,1701.91928,0.0048727516163420415,0.009636268959679395,0.012366545714950439,1690.2378272857143,1686.2538986428572,1681.853808,0.004984986950610226,0.003563551160905796,0.004505788647069806,0.0057779922102843195,0.009636268959679395,0.012366545714950439,11.768499999999904,0.006914840285492214,5.0,9.0,2025-09-16,0.0013010634675929555,Low
2025-09-10,EUR,1693.754023,-0.004797675833368653,0.0009577838672965022,0.006619968870445803,1690.4693555714289,1687.0495315000003,1681.8569127,0.005120794049954469,0.004034270128654186,0.004755124278903352,0.0058453403272216735,0.0009577838672965022,0.006619968870445803,11.710500000000138,0.006913931917491976,4.0,8.0,2025-09-17,0.012676654170816537,High
2025-09-11,EUR,1691.670055,-0.0012303840886581652,0.0006587499827519494,0.010576088496304203,1690.6284489999998,1688.314103857143,1682.6582094,0.00473669551871847,0.0040490837818090136,0.004507913909195155,0.0050820848911517155,0.0006587499827519494,0.010576088496304203,11.694997999999941,0.00691328546334051,4.0,8.0,2025-09-18,0.010290535053539163,High
2025-09-12,EUR,1695.70452,0.0023849006418690255,0.008537560837136304,0.002535766070194345,1692.6791100000003,1688.6204634285714,1683.6774393333333,0.005346434213807205,0.0032674493074901544,0.0036037001109612233,0.005079115288303885,0.008537560837136304,0.002535766070194345,11.722001999999975,0.00691276213617687,5.0,8.0,2025-09-19,0.005503218213984695,Medium
2025-09-15,EUR,1697.3271,0.000956876614329083,0.007490460681425892,0.009894271178384706,1694.481858285714,1689.8082691428572,1685.3282681333333,0.00543133959446318,0.0032498082601096117,0.0030767649067447085,0.004632743199005537,0.007490460681425892,0.009894271178384706,11.731999999999971,0.0069120442370831005,5.0,9.0,2025-09-22,-2.5457084848246048e-05,Low
2025-09-16,EUR,1704.133585,0.004010119793645073,0.009957745909910942,0.01504866263961313,1696.882146714286,1691.6128927857142,1686.4753748333335,0.0061707227014689,0.003437758746665657,0.0031487015044703364,0.004056607028533676,0.009957745909910942,0.01504866263961313,11.777497999999923,0.006911135431909185,5.0,10.0,2025-09-23,0.002493222384323701,Medium
